,scenario,half_hat,K,rel_oracle_time,C_bar_size,num_min_loc,mult,varsigma_deg,upsilon,n,m
235,5,1.0,2.7808764940239046,0.026444392399724365,2308,21,2.0,0.02,20.0,500.0,10000.0
236,6,1.0,2.860557768924303,0.027716715269908713,2311,23,2.0,0.02,20.0,500.0,10000.0
237,7,1.0,3.3824701195219125,0.039894642614533356,2302,13,2.0,0.02,20.0,500.0,10000.0
238,8,1.0,1.9362549800796813,0.02250271210154288,2306,25,2.0,0.02,20.0,500.0,10000.0
239,9,1.0,3.848605577689243,0.040286384405355036,2306,20,2.0,0.02,20.0,500.0,10000.0
240,0,35.437057116622015,68.75697211155378,10.532899713038828,9943,477,5.0,0.0002,0.0,500.0,10000.0
241,1,18.730379129557118,49.91235059760956,5.3775989765938945,9921,476,5.0,0.0002,0.0,500.0,10000.0
242,2,34.13728291728058,69.0,10.714455706293837,9944,476,5.0,0.0002,0.0,500.0,10000.0
243,3,22.552213907913693,82.78486055776892,15.133973354086754,9943,476,5.0,0.0002,0.0,500.0,10000.0
244,4,6.746074571671588,73.05179282868527,11.818171042167428,9926,477,5.0,0.0002,0.0,500.0,10000.0
245,5,10.17261359821248,53.91235059760956,6.339448422386942,9916,476,5.0,0.0002,0.0,500.0,10000.0
246,6,7.037636394842045,49.06374501992032,5.250115616354112,9942,476,5.0,0.0002,0.0,500.0,10000.0
247,7,33.69518915285477,52.95617529880478,6.187384110713105,9926,476,5.0,0.0002,0.0,500.0,10000.0
248,8,40.286086292434234,55.01195219123506,6.713203387680166,9931,476,5.0,0.0002,0.0,500.0,10000.0
249,9,49.56444285855528,47.0,4.754557796380674,9944,476,5.0,0.0002,0.0,500.0,10000.0
250,0,1.0,21.0398406374502,0.8397748257611258,9937,294,5.0,0.002,0.0,500.0,10000.0
251,1,17.866702529736592,37.98406374501992,2.9875706638903647,9935,299,5.0,0.002,0.0,500.0,10000.0
252,2,35.7921396886527,28.625498007968126,1.6111739903519524,9943,300,5.0,0.002,0.0,500.0,10000.0
253,3,1.0,17.9203187250996,0.5891027968624112,9940,301,5.0,0.002,0.0,500.0,10000.0
254,4,13.790833385327197,29.98406374501992,1.77311816673158,9950,309,5.0,0.002,0.0,500.0,10000.0
255,5,1.0,23.40239043824701,1.0428412773635056,9920,302,5.0,0.002,0.0,500.0,10000.0
256,6,1.0,33.95617529880478,2.3379140783710883,9942,301,5.0,0.002,0.0,500.0,10000.0
257,7,1.0,32.44223107569721,2.100640160458939,9928,302,5.0,0.002,0.0,500.0,10000.0
258,8,1.0,48.633466135458164,5.042487873141509,9933,300,5.0,0.002,0.0,500.0,10000.0
259,9,6.173529291156766,31.45019920318725,1.964331365370353,9944,306,5.0,0.002,0.0,500.0,10000.0
260,0,1.0,7.175298804780876,0.12027800628410518,9931,19,5.0,0.02,0.0,500.0,10000.0
261,1,1.0,7.713147410358566,0.13372204325768833,9904,19,5.0,0.02,0.0,500.0,10000.0
